University,City,Status,Established,Rector
TRAKYA UNIVERSITY,EDİRNE,STATE,1982,PROF.DR. ERHAN TABAKOĞLU
UNIVERSITY OF TURKISH AERONAUTICAL ASSOCIATION,ANKARA,FOUNDATION,2011,PROF.DR. HASAN ERBAY
TURKISH - GERMAN UNIVERSITY,İSTANBUL,STATE,2010,PROF.DR. CEMAL YILDIZ
"TURKEY INTERNATIONAL ISLAM, SCIENCE AND TECHNOLOGY UNIVERSITY",İSTANBUL,STATE,2015,
TURKISH-JAPANESE SCIENCE AND TECHNOLOGY UNIVERSITY,İSTANBUL,STATE,2017,
UFUK UNIVERSITY,ANKARA,FOUNDATION,1999,PROF.DR. SERTAÇ HAMİ BAŞEREN
USAK UNIVERSITY,UŞAK,STATE,2006,PROF.DR. EKREM SAVAŞ
USKUDAR UNIVERSITY,İSTANBUL,FOUNDATION,2011,PROF.DR. MEHMET ZELKA
VAN YUZUNCU YIL UNIVERSITY,VAN,STATE,1982,PROF.DR. HAMDULLAH ŞEVLİ
YALOVA UNIVERSITY,YALOVA,STATE,2008,PROF.DR. MEHMET BAHÇEKAPILI
YASAR UNIVERSITY,İZMİR,FOUNDATION,2001,PROF.DR. MEHMET CEMALİ DİNÇER
YEDITEPE UNIVERSITY,İSTANBUL,FOUNDATION,1996,PROF.DR. CANAN AYKUT BİNGÖL
YILDIZ TECHNICAL UNIVERSITY,İSTANBUL,STATE,1982,PROF.DR. TAMER YILMAZ
YOZGAT BOZOK UNIVERSITY,YOZGAT,STATE,2006,PROF.DR. AHMET KARADAĞ
YUKSEK IHTISAS UNIVERSITY,ANKARA,FOUNDATION,2013,PROF.DR. MUSTAFA PAÇ
ZONGULDAK BULENT ECEVIT UNIVERSITY,ZONGULDAK,STATE,1992,PROF.DR. İSMAİL HAKKI ÖZÖLÇER
